Date,Open
1990-08-20,8.458
1990-08-20,8.458
1990-08-21,9.869
1990-08-21,9.869
1990-08-22,10.027
1990-08-22,10.027
1990-08-23,9.821
1990-08-23,9.821
1990-08-24,10.235
1990-08-24,10.235
1990-08-27,10.996
1990-08-27,10.996
1990-08-28,10.996
1990-08-28,10.996
1990-08-29,11.168
1990-08-29,11.168
1990-08-30,11.107
1990-08-30,11.107
1990-08-31,10.757
1990-08-31,10.757
1990-09-03,10.742
1990-09-03,10.742
1990-09-04,10.694
1990-09-04,10.694
1990-09-05,10.742
1990-09-05,10.742
1990-09-06,10.582
1990-09-06,10.582
1990-09-07,10.694
1990-09-07,10.694
1990-09-10,10.202
1990-09-10,10.202
1990-09-11,10.698
1990-09-11,10.698
1990-09-12,10.681
1990-09-12,10.681
1990-09-13,10.541
1990-09-13,10.541
1990-09-14,10.456
1990-09-14,10.456
1990-09-17,10.541
1990-09-17,10.541
1990-09-18,10.456
1990-09-18,10.456
1990-09-19,10.595
1990-09-19,10.595
1990-09-20,10.473
1990-09-20,10.473
1990-09-21,10.558
1990-09-21,10.558
1990-09-24,10.386
1990-09-24,10.386
1990-09-25,10.281
1990-09-25,10.281
1990-09-26,10.386
1990-09-26,10.386
1990-09-27,10.595
1990-09-27,10.595
1990-09-28,10.333
1990-09-28,10.333
1990-10-01,10.526
1990-10-01,10.526
1990-10-02,11.031
1990-10-02,11.031
1990-10-03,10.945
1990-10-03,10.945
1990-10-04,10.823
1990-10-04,10.823
1990-10-05,10.978
1990-10-05,10.978
1990-10-08,11.153
1990-10-08,11.153
1990-10-09,11.083
1990-10-09,11.083
1990-10-10,11.048
1990-10-10,11.048
1990-10-11,11.048
1990-10-11,11.048
1990-10-12,11.136
1990-10-12,11.136
1990-10-15,11.311
1990-10-15,11.311
1990-10-16,11.273
1990-10-16,11.273
1990-10-17,11.448
1990-10-17,11.448
1990-10-18,11.643
1990-10-18,11.643
1990-10-19,11.833
1990-10-19,11.833
1990-10-22,11.781
1990-10-22,11.781
1990-10-23,11.905
1990-10-23,11.905
1990-10-24,11.746
1990-10-24,11.746
1990-10-25,11.695
1990-10-25,11.695
1990-10-26,11.606
1990-10-26,11.606
1990-10-29,11.606
1990-10-29,11.606
1990-10-30,11.606
1990-10-30,11.606
1990-10-31,11.73
1990-10-31,11.73
1990-11-02,11.781
1990-11-02,11.781
1990-11-05,11.66
1990-11-05,11.66
1990-11-06,11.556
1990-11-06,11.556
1990-11-07,11.363
1990-11-07,11.363
1990-11-08,11.521
1990-11-08,11.521
1990-11-09,11.588
1990-11-09,11.588
1990-11-12,11.643
1990-11-12,11.643
1990-11-13,11.606
1990-11-13,11.606
1990-11-14,11.413
1990-11-14,11.413
1990-11-15,11.223
1990-11-15,11.223
1990-11-16,11.311
1990-11-16,11.311
1990-11-19,11.293
1990-11-19,11.293
1990-11-20,11.328
1990-11-20,11.328
1990-11-21,11.188
1990-11-21,11.188
1990-11-22,11.118
1990-11-22,11.118
1990-11-23,11.188
1990-11-23,11.188
1990-11-26,10.996
1990-11-26,10.996
1990-11-27,11.171
1990-11-27,11.171
1990-11-28,10.873
1990-11-28,10.873
1990-11-29,10.873
1990-11-29,10.873
1990-11-30,10.891
1990-11-30,10.891
1990-12-03,11.171
1990-12-03,11.171
1990-12-04,11.171
1990-12-04,11.171
1990-12-05,11.328
1990-12-05,11.328
1990-12-06,11.606
1990-12-06,11.606
1990-12-07,11.503
1990-12-07,11.503
1990-12-10,11.556
1990-12-10,11.556
1990-12-11,11.503
1990-12-11,11.503
1990-12-12,11.588
1990-12-12,11.588
1990-12-13,11.536
1990-12-13,11.536
1990-12-14,11.468
1990-12-14,11.468
1990-12-17,11.241
1990-12-17,11.241
1990-12-19,11.031
1990-12-19,11.031
1990-12-20,10.908
1990-12-20,10.908
1990-12-26,10.856
1990-12-26,10.856
1990-12-27,10.805
1990-12-27,10.805
1990-12-28,10.908
1990-12-28,10.908
1991-01-02,10.576
1991-01-02,10.576
1991-01-03,10.908
1991-01-03,10.908
1991-01-04,10.978
1991-01-04,10.978
1991-01-07,10.805
1991-01-07,10.805
1991-01-08,10.648
1991-01-08,10.648
1991-01-09,11.083
1991-01-09,11.083
1991-01-10,10.681
1991-01-10,10.681
1991-01-11,10.733
1991-01-11,10.733
1991-01-14,10.508
1991-01-14,10.508
1991-01-15,10.613
1991-01-15,10.613
1991-01-16,10.663
1991-01-16,10.663
1991-01-17,11.431
1991-01-17,11.431
1991-01-18,11.521
1991-01-18,11.521
1991-01-21,11.328
1991-01-21,11.328
1991-01-24,11.293
1991-01-24,11.293
1991-01-25,11.293
1991-01-25,11.293
1991-01-28,11.256
1991-01-28,11.256
1991-01-29,11.363
1991-01-29,11.363
1991-01-30,11.256
1991-01-30,11.256
1991-01-31,11.363
1991-01-31,11.363
1991-02-01,11.206
1991-02-01,11.206
1991-02-04,11.241
1991-02-04,11.241
1991-02-05,11.413
1991-02-05,11.413
1991-02-06,11.363
1991-02-06,11.363
1991-02-07,11.431
1991-02-07,11.431
1991-02-08,11.346
1991-02-08,11.346
1991-02-11,11.521
1991-02-11,11.521
1991-02-12,11.678
1991-02-12,11.678
1991-02-13,11.486
1991-02-13,11.486
1991-02-14,11.606
1991-02-14,11.606
1991-02-18,11.678
1991-02-18,11.678
1991-02-19,11.868
1991-02-19,11.868
1991-02-20,11.73
1991-02-20,11.73
1991-02-21,11.66
1991-02-21,11.66
1991-02-22,11.695
1991-02-22,11.695
1991-02-25,11.886
1991-02-25,11.886
1991-02-26,11.763
1991-02-26,11.763
1991-02-27,11.468
1991-02-27,11.468
1991-02-28,11.695
1991-02-28,11.695
1991-03-01,11.678
1991-03-01,11.678
1991-03-04,11.678
1991-03-04,11.678
1991-03-05,11.695
1991-03-05,11.695
1991-03-06,12.148
1991-03-06,12.148
1991-03-07,12.043
1991-03-07,12.043
1991-03-08,12.218
1991-03-08,12.218
1991-03-11,11.868
1991-03-11,11.868
1991-03-12,11.763
1991-03-12,11.763
1991-03-13,11.73
1991-03-13,11.73
1991-03-14,11.938
1991-03-14,11.938
1991-03-15,12.218
1991-03-15,12.218
1991-03-18,11.973
1991-03-18,11.973
1991-03-19,11.973
1991-03-19,11.973
1991-03-20,11.868
1991-03-20,11.868
1991-03-21,11.905
1991-03-21,11.905
1991-03-22,11.781
1991-03-22,11.781
1991-03-25,11.781
1991-03-25,11.781
1991-03-26,11.781
1991-03-26,11.781
1991-03-27,11.886
1991-03-27,11.886
1991-04-03,12.586
1991-04-03,12.586
1991-04-04,12.531
1991-04-04,12.531
1991-04-05,12.603
1991-04-05,12.603
1991-04-08,12.671
1991-04-08,12.671
1991-04-09,12.478
1991-04-09,12.478
1991-04-10,12.341
1991-04-10,12.341
1991-04-11,12.166
1991-04-11,12.166
1991-04-12,12.201
1991-04-12,12.201
1991-04-15,12.271
1991-04-15,12.271
1991-04-16,12.111
1991-04-16,12.111
1991-04-17,12.096
1991-04-17,12.096
1991-04-18,12.128
1991-04-18,12.128
1991-04-19,11.905
1991-04-19,11.905
1991-04-22,11.868
1991-04-22,11.868
1991-04-23,11.868
1991-04-23,11.868
1991-04-24,11.954
1991-04-24,11.954
1991-04-25,11.886
1991-04-25,11.886
1991-04-26,11.833
1991-04-26,11.833
1991-04-29,11.833
1991-04-29,11.833
1991-04-30,11.781
1991-04-30,11.781
1991-05-02,11.818
1991-05-02,11.818
1991-05-03,11.868
1991-05-03,11.868
1991-05-06,11.868
1991-05-06,11.868
1991-05-07,11.868
1991-05-07,11.868
1991-05-10,11.993
1991-05-10,11.993
1991-05-13,11.886
1991-05-13,11.886
1991-05-14,11.781
1991-05-14,11.781
1991-05-15,11.763
1991-05-15,11.763
1991-05-16,11.851
1991-05-16,11.851
1991-05-17,12.08
1991-05-17,12.08
1991-05-21,12.201
1991-05-21,12.201
1991-05-22,12.323
1991-05-22,12.323
1991-05-23,12.446
1991-05-23,12.446
1991-05-24,12.548
1991-05-24,12.548
1991-05-27,12.323
1991-05-27,12.323
1991-05-28,12.236
1991-05-28,12.236
1991-05-29,12.201
1991-05-29,12.201
1991-05-30,11.993
1991-05-30,11.993
1991-05-31,12.183
1991-05-31,12.183
1991-06-03,12.08
1991-06-03,12.08
1991-06-04,11.993
1991-06-04,11.993
1991-06-05,12.008
1991-06-05,12.008
1991-06-06,12.043
1991-06-06,12.043
1991-06-07,12.026
1991-06-07,12.026
1991-06-10,11.868
1991-06-10,11.868
1991-06-11,11.833
1991-06-11,11.833
1991-06-12,11.868
1991-06-12,11.868
1991-06-13,11.73
1991-06-13,11.73
1991-06-14,11.818
1991-06-14,11.818
1991-06-17,11.905
1991-06-17,11.905
1991-06-18,11.73
1991-06-18,11.73
1991-06-19,11.798
1991-06-19,11.798
1991-06-20,11.695
1991-06-20,11.695
1991-06-21,11.746
1991-06-21,11.746
1991-06-24,11.695
1991-06-24,11.695
1991-06-25,11.623
1991-06-25,11.623
1991-06-26,11.363
1991-06-26,11.363
1991-06-27,11.346
1991-06-27,11.346
1991-06-28,11.256
1991-06-28,11.256
1991-07-01,11.381
1991-07-01,11.381
1991-07-02,11.413
1991-07-02,11.413
1991-07-03,11.223
1991-07-03,11.223
1991-07-04,11.223
1991-07-04,11.223
1991-07-05,11.153
1991-07-05,11.153
1991-07-08,11.188
1991-07-08,11.188
1991-07-09,11.381
1991-07-09,11.381
1991-07-10,11.346
1991-07-10,11.346
1991-07-11,11.536
1991-07-11,11.536
1991-07-12,11.588
1991-07-12,11.588
1991-07-15,11.606
1991-07-15,11.606
1991-07-16,11.606
1991-07-16,11.606
1991-07-17,11.486
1991-07-17,11.486
1991-07-18,11.503
1991-07-18,11.503
1991-07-19,11.536
1991-07-19,11.536
1991-07-22,11.431
1991-07-22,11.431
1991-07-23,11.588
1991-07-23,11.588
1991-07-24,11.556
1991-07-24,11.556
1991-07-25,11.346
1991-07-25,11.346
1991-07-26,11.468
1991-07-26,11.468
1991-07-29,11.346
1991-07-29,11.346
1991-07-30,11.396
1991-07-30,11.396
1991-07-31,11.346
1991-07-31,11.346
1991-08-01,11.448
1991-08-01,11.448
1991-08-02,11.396
1991-08-02,11.396
1991-08-05,11.363
1991-08-05,11.363
1991-08-06,11.363
1991-08-06,11.363
1991-08-07,11.486
1991-08-07,11.486
1991-08-08,11.711
1991-08-08,11.711
1991-08-09,11.763
1991-08-09,11.763
1991-08-12,11.798
1991-08-12,11.798
1991-08-13,11.868
1991-08-13,11.868
1991-08-20,11.643
1991-08-20,11.643
1991-08-21,11.711
1991-08-21,11.711
1991-08-22,12.08
1991-08-22,12.08
1991-08-23,12.111
1991-08-23,12.111
1991-08-26,12.148
1991-08-26,12.148
1991-08-27,12.201
1991-08-27,12.201
1991-08-28,12.183
1991-08-28,12.183
1991-08-29,12.218
1991-08-29,12.218
1991-08-30,12.096
1991-08-30,12.096
1991-09-02,12.043
1991-09-02,12.043
1991-09-03,12.166
1991-09-03,12.166
1991-09-04,12.128
1991-09-04,12.128
1991-09-05,11.954
1991-09-05,11.954
1991-09-06,12.183
1991-09-06,12.183
1991-09-09,12.166
1991-09-09,12.166
1991-09-10,12.166
1991-09-10,12.166
1991-09-11,12.148
1991-09-11,12.148
1991-09-12,12.061
1991-09-12,12.061
1991-09-13,12.201
1991-09-13,12.201
1991-09-16,12.166
1991-09-16,12.166
1991-09-17,12.148
1991-09-17,12.148
1991-09-18,12.148
1991-09-18,12.148
1991-09-19,12.148
1991-09-19,12.148
1991-09-20,12.111
1991-09-20,12.111
1991-09-23,12.128
1991-09-23,12.128
1991-09-24,12.043
1991-09-24,12.043
1991-09-25,12.148
1991-09-25,12.148
1991-09-26,12.128
1991-09-26,12.128
1991-09-27,12.096
1991-09-27,12.096
1991-09-30,11.993
1991-09-30,11.993
1991-10-01,12.008
1991-10-01,12.008
1991-10-02,11.905
1991-10-02,11.905
1991-10-03,11.781
1991-10-03,11.781
1991-10-04,11.623
1991-10-04,11.623
1991-10-07,11.66
1991-10-07,11.66
1991-10-08,11.588
1991-10-08,11.588
1991-10-09,11.763
1991-10-09,11.763
1991-10-10,11.623
1991-10-10,11.623
1991-10-11,11.711
1991-10-11,11.711
1991-10-14,11.643
1991-10-14,11.643
1991-10-15,11.711
1991-10-15,11.711
1991-10-16,11.763
1991-10-16,11.763
1991-10-17,11.833
