Date,Open
1992-07-20,8.96
1992-07-20,8.96
1992-07-21,8.917
1992-07-21,8.917
1992-07-22,8.842
1992-07-22,8.842
1992-07-23,8.805
1992-07-23,8.805
1992-07-24,8.805
1992-07-24,8.805
1992-07-27,8.748
1992-07-27,8.748
1992-07-28,8.765
1992-07-28,8.765
1992-07-29,8.765
1992-07-29,8.765
1992-07-30,8.938
1992-07-30,8.938
1992-07-31,8.765
1992-07-31,8.765
1992-08-03,8.727
1992-08-03,8.727
1992-08-04,8.842
1992-08-04,8.842
1992-08-05,8.85
1992-08-05,8.85
1992-08-06,8.903
1992-08-06,8.903
1992-08-07,8.885
1992-08-07,8.885
1992-08-10,8.648
1992-08-10,8.648
1992-08-11,8.613
1992-08-11,8.613
1992-08-12,8.602
1992-08-12,8.602
1992-08-13,8.563
1992-08-13,8.563
1992-08-14,8.538
1992-08-14,8.538
1992-08-17,8.69
1992-08-17,8.69
1992-08-18,8.712
1992-08-18,8.712
1992-08-19,8.727
1992-08-19,8.727
1992-08-20,8.443
1992-08-20,8.443
1992-08-21,8.002
1992-08-21,8.002
1992-08-24,7.818
1992-08-24,7.818
1992-08-25,7.813
1992-08-25,7.813
1992-08-26,7.89
1992-08-26,7.89
1992-08-27,8.002
1992-08-27,8.002
1992-08-28,7.843
1992-08-28,7.843
1992-08-31,7.927
1992-08-31,7.927
1992-09-01,7.957
1992-09-01,7.957
1992-09-02,7.395
1992-09-02,7.395
1992-09-03,7.66
1992-09-03,7.66
1992-09-04,7.89
1992-09-04,7.89
1992-09-07,8.017
1992-09-07,8.017
1992-09-08,8.08
1992-09-08,8.08
1992-09-09,8.045
1992-09-09,8.045
1992-09-10,8.123
1992-09-10,8.123
1992-09-11,8.195
1992-09-11,8.195
1992-09-14,8.46
1992-09-14,8.46
1992-09-15,8.517
1992-09-15,8.517
1992-09-16,8.307
1992-09-16,8.307
1992-09-17,8.595
1992-09-17,8.595
1992-09-18,8.655
1992-09-18,8.655
1992-09-21,8.8
1992-09-21,8.8
1992-09-22,8.48
1992-09-22,8.48
1992-09-23,8.61
1992-09-23,8.61
1992-09-24,8.653
1992-09-24,8.653
1992-09-25,8.693
1992-09-25,8.693
1992-09-28,8.27
1992-09-28,8.27
1992-09-29,7.85
1992-09-29,7.85
1992-09-30,7.722
1992-09-30,7.722
1992-10-01,7.927
1992-10-01,7.927
1992-10-02,7.813
1992-10-02,7.813
1992-10-05,7.622
1992-10-05,7.622
1992-10-06,7.622
1992-10-06,7.622
1992-10-07,7.927
1992-10-07,7.927
1992-10-08,8.233
1992-10-08,8.233
1992-10-09,8.27
1992-10-09,8.27
1992-10-12,8.08
1992-10-12,8.08
1992-10-13,8.235
1992-10-13,8.235
1992-10-14,8.252
1992-10-14,8.252
1992-10-15,8.137
1992-10-15,8.137
1992-10-16,8.29
1992-10-16,8.29
1992-10-19,8.5
1992-10-19,8.5
1992-10-20,8.62
1992-10-20,8.62
1992-10-21,8.88
1992-10-21,8.88
1992-10-22,8.765
1992-10-22,8.765
1992-10-23,8.962
1992-10-23,8.962
1992-10-26,9.243
1992-10-26,9.243
1992-10-27,9.222
1992-10-27,9.222
1992-10-28,9.28
1992-10-28,9.28
1992-10-29,9.295
1992-10-29,9.295
1992-10-30,9.075
1992-10-30,9.075
1992-11-03,9.375
1992-11-03,9.375
1992-11-04,9.318
1992-11-04,9.318
1992-11-05,9.262
1992-11-05,9.262
1992-11-06,9.19
1992-11-06,9.19
1992-11-09,9.038
1992-11-09,9.038
1992-11-10,8.962
1992-11-10,8.962
1992-11-12,9.127
1992-11-12,9.127
1992-11-13,9.148
1992-11-13,9.148
1992-11-16,9.07
1992-11-16,9.07
1992-11-17,8.917
1992-11-17,8.917
1992-11-18,8.837
1992-11-18,8.837
1992-11-19,8.823
1992-11-19,8.823
1992-11-20,8.69
1992-11-20,8.69
1992-11-23,8.727
1992-11-23,8.727
1992-11-24,8.387
1992-11-24,8.387
1992-11-25,8.727
1992-11-25,8.727
1992-11-26,8.785
1992-11-26,8.785
1992-11-27,8.917
1992-11-27,8.917
1992-11-30,8.995
1992-11-30,8.995
1992-12-01,9.07
1992-12-01,9.07
1992-12-02,8.995
1992-12-02,8.995
1992-12-03,9.07
1992-12-03,9.07
1992-12-04,9.11
1992-12-04,9.11
1992-12-07,9.07
1992-12-07,9.07
1992-12-08,9.068
1992-12-08,9.068
1992-12-09,9.033
1992-12-09,9.033
1992-12-10,9.09
1992-12-10,9.09
1992-12-11,8.938
1992-12-11,8.938
1992-12-14,8.845
1992-12-14,8.845
1992-12-15,8.595
1992-12-15,8.595
1992-12-16,8.485
1992-12-16,8.485
1992-12-17,8.488
1992-12-17,8.488
1992-12-18,8.538
1992-12-18,8.538
1992-12-21,8.385
1992-12-21,8.385
1992-12-22,8.48
1992-12-22,8.48
1992-12-23,8.422
1992-12-23,8.422
1992-12-24,8.507
1992-12-24,8.507
1992-12-28,8.69
1992-12-28,8.69
1992-12-29,8.748
1992-12-29,8.748
1992-12-30,8.765
1992-12-30,8.765
1992-12-31,8.785
1992-12-31,8.785
1993-01-04,8.712
1993-01-04,8.712
1993-01-05,8.91
1993-01-05,8.91
1993-01-06,9.105
1993-01-06,9.105
1993-01-07,9.155
1993-01-07,9.155
1993-01-08,9.075
1993-01-08,9.075
1993-01-11,9.113
1993-01-11,9.113
1993-01-12,8.88
1993-01-12,8.88
1993-01-13,8.613
1993-01-13,8.613
1993-01-14,8.613
1993-01-14,8.613
1993-01-15,8.597
1993-01-15,8.597
1993-01-18,8.693
1993-01-18,8.693
1993-01-19,8.632
1993-01-19,8.632
1993-01-20,8.613
1993-01-20,8.613
1993-01-21,8.427
1993-01-21,8.427
1993-01-22,8.422
1993-01-22,8.422
1993-01-25,8.445
1993-01-25,8.445
1993-01-26,8.365
1993-01-26,8.365
1993-01-27,8.422
1993-01-27,8.422
1993-01-28,8.313
1993-01-28,8.313
1993-01-29,8.422
1993-01-29,8.422
1993-02-01,8.46
1993-02-01,8.46
1993-02-02,8.805
1993-02-02,8.805
1993-02-03,8.708
1993-02-03,8.708
1993-02-04,8.88
1993-02-04,8.88
1993-02-05,8.995
1993-02-05,8.995
1993-02-08,9.14
1993-02-08,9.14
1993-02-09,8.873
1993-02-09,8.873
1993-02-10,8.995
1993-02-10,8.995
1993-02-11,9.185
1993-02-11,9.185
1993-02-12,9.127
1993-02-12,9.127
1993-02-15,9.222
1993-02-15,9.222
1993-02-16,9.15
1993-02-16,9.15
1993-02-17,9.068
1993-02-17,9.068
1993-02-18,9.185
1993-02-18,9.185
1993-02-19,9.15
1993-02-19,9.15
1993-02-22,9.3
1993-02-22,9.3
1993-02-23,9.49
1993-02-23,9.49
1993-02-24,9.405
1993-02-24,9.405
1993-02-25,9.573
1993-02-25,9.573
1993-02-26,9.535
1993-02-26,9.535
1993-03-01,9.717
1993-03-01,9.717
1993-03-02,9.693
1993-03-02,9.693
1993-03-03,9.717
1993-03-03,9.717
1993-03-04,9.765
1993-03-04,9.765
1993-03-05,9.833
1993-03-05,9.833
1993-03-08,9.89
1993-03-08,9.89
1993-03-09,9.89
1993-03-09,9.89
1993-03-10,9.913
1993-03-10,9.913
1993-03-11,9.833
1993-03-11,9.833
1993-03-12,9.852
1993-03-12,9.852
1993-03-15,9.852
1993-03-15,9.852
1993-03-16,9.855
1993-03-16,9.855
1993-03-17,9.68
1993-03-17,9.68
1993-03-18,9.658
1993-03-18,9.658
1993-03-19,9.605
1993-03-19,9.605
1993-03-22,9.565
1993-03-22,9.565
1993-03-23,9.453
1993-03-23,9.453
1993-03-24,9.395
1993-03-24,9.395
1993-03-25,9.637
1993-03-25,9.637
1993-03-26,9.87
1993-03-26,9.87
1993-03-29,10.042
1993-03-29,10.042
1993-03-30,10.108
1993-03-30,10.108
1993-03-31,9.818
1993-03-31,9.818
1993-04-01,9.91
1993-04-01,9.91
1993-04-02,9.89
1993-04-02,9.89
1993-04-05,9.87
1993-04-05,9.87
1993-04-06,9.795
1993-04-06,9.795
1993-04-07,9.863
1993-04-07,9.863
1993-04-08,9.757
1993-04-08,9.757
1993-04-13,9.905
1993-04-13,9.905
1993-04-14,10.057
1993-04-14,10.057
1993-04-15,10.302
1993-04-15,10.302
1993-04-16,10.347
1993-04-16,10.347
1993-04-19,10.48
1993-04-19,10.48
1993-04-20,10.368
1993-04-20,10.368
1993-04-21,10.195
1993-04-21,10.195
1993-04-22,10.102
1993-04-22,10.102
1993-04-23,10.368
1993-04-23,10.368
1993-04-26,10.273
1993-04-26,10.273
1993-04-27,10.313
1993-04-27,10.313
1993-04-28,10.215
1993-04-28,10.215
1993-04-29,9.91
1993-04-29,9.91
1993-04-30,9.757
1993-04-30,9.757
1993-05-03,9.925
1993-05-03,9.925
1993-05-04,9.87
1993-05-04,9.87
1993-05-05,9.757
1993-05-05,9.757
1993-05-06,9.775
1993-05-06,9.775
1993-05-07,9.87
1993-05-07,9.87
